Ticker,Sector,Market Cap,P/E Ratio,Average Return,Volatility
20MICRONS.NS,Basic Materials,8909844480.0,14.708854,0.0038062670982154817,0.03892712717381561
21STCENMGM.NS,Financial Services,1249604992.0,2.1037652,0.007059626673743008,0.01861646556967623
3MINDIA.NS,Industrials,404706590720.0,66.22493,0.001919281362641104,0.01810115816962698
3PLAND.NS,Unknown,,,0.0036263418465845992,0.03425594106857518
5PAISA.NS,Financial Services,15624658944.0,26.040585,-4.3510117439150156e-05,0.020754124822086335
63MOONS.NS,Technology,25817825280.0,14.792712,0.002962838117243385,0.035464966702452215
A2ZINFRA.NS,Industrials,3458996736.0,,0.003134186733759217,0.03247531932282757
AAKASH.NS,Energy,1149187584.0,1.8455285,0.0009445886874604551,0.032545805857578054
AARON.NS,Industrials,2841379072.0,39.548103,0.0006275054779480623,0.01967640185012884
AARTIDRUGS.NS,Healthcare,44735971328.0,29.589373,0.0004092914279951679,0.017471830667979384
AARTIIND.NS,Basic Materials,172106153984.0,35.588898,-0.002781313713990134,0.025484708892932872
AARTISURF.NS,Basic Materials,6186546176.0,33.6679,0.000985166525079658,0.029960878580110765
AARVEEDEN.NS,Consumer Cyclical,1399145088.0,,0.0069109362081153265,0.034942053254025135
AARVI.NS,Industrials,2195719680.0,20.714087,0.00087082964525971,0.029092453429703825
AAVAS.NS,Financial Services,131592593408.0,24.69033,0.0005100795642629357,0.018689224721636033
ABAN.NS,Energy,3944910336.0,,0.0004763256800683543,0.028753603263575258
ABB.NS,Industrials,1492987281408.0,88.499565,0.00017522686946564462,0.025373742075503643
ABBOTINDIA.NS,Healthcare,607137824768.0,47.170174,0.0009652846383735996,0.01388793367541414
ABCAPITAL.NS,Financial Services,524537102336.0,14.063636,-0.0003882750214797288,0.02193565601593892
ABFRL.NS,Consumer Cyclical,316969910272.0,,0.0015906727441737409,0.02546618689150828
ACC.NS,Basic Materials,430295121920.0,21.142277,-0.00025057982898350794,0.020654017231343143
ACCELYA.NS,Technology,24012685312.0,25.314713,6.997202322133775e-05,0.021517787416588885
ACCURACY.NS,Industrials,1463443200.0,22.09091,0.000845169454601499,0.03188012934612938
ACE.NS,Industrials,162775384064.0,44.444263,5.162565943192248e-05,0.028989929416847082
ADANIENT.NS,Energy,3380708638720.0,62.896717,0.0005689524521516404,0.02697167333892005
ADANIGREEN.NS,Utilities,2532151132160.0,250.16434,-0.00039144807993284406,0.028670693763431683
ADANIPORTS.NS,Industrials,2944696844288.0,28.65166,0.0009518654217488822,0.027898453011002723
ADANIPOWER.NS,Utilities,2271737806848.0,18.90244,0.0005443494457590993,0.029405509700677148
ADFFOODS.NS,Consumer Defensive,32190152704.0,40.638004,0.003009469015164552,0.03210571179390918
ADL.NS,Consumer Cyclical,547607552.0,193.0,0.001552879405680186,0.03845304348810319
ADORWELD.NS,Industrials,22450483200.0,26.177965,9.051244822962505e-05,0.023121251306470685
ADROITINFO.NS,Technology,935553216.0,31.639534,0.002817929970248204,0.03461122223991273
ADSL.NS,Technology,15253861376.0,34.242424,0.00611728125005673,0.04213733822722786
ADVANIHOTR.NS,Consumer Cyclical,6392122368.0,26.6834,-0.0007169585886580565,0.025767593476452706
ADVENZYMES.NS,Basic Materials,54379757568.0,39.229214,0.002105843773683411,0.025983930684036424
AFFLE.NS,Communication Services,224891060224.0,69.45214,0.003341599518604261,0.022684811701925524
AGARIND.NS,Basic Materials,16040772608.0,13.244951,0.0025330992729383924,0.03042529761371516
AGRITECH.NS,Consumer Defensive,1164358784.0,12.736842,0.0005442747694337616,0.035624478705678524
AGROPHOS.NS,Basic Materials,869353408.0,,0.00025357724328640415,0.029204062498153494
AHLEAST.NS,Consumer Cyclical,2924026880.0,10.214199,0.001780672888890598,0.026702634014832666
AHLUCONT.NS,Industrials,70400614400.0,19.80309,0.00022795345456352888,0.02872290094856996
AHLWEST.NS,Unknown,,,0.0,0.0
AIAENG.NS,Industrials,341380005888.0,32.679558,-0.00013197402614367968,0.016425008840832884
AIRAN.NS,Technology,4318191104.0,13.284616,0.0031307966771167046,0.037836238674217204
AJANTPHARM.NS,Healthcare,357967724544.0,41.152298,0.0018105088708940517,0.022006424962605773
AJMERA.NS,Real Estate,37332107264.0,27.030493,0.0016246579645035413,0.02933871071410716
AKASH.NS,Industrials,601654016.0,274.46155,0.00036666613590384696,0.03569985485320391
AKSHARCHEM.NS,Basic Materials,2521991936.0,,0.0016299451259224453,0.02800339015692145
AKSHOPTFBR.NS,Technology,1905193600.0,,0.002708379363998709,0.03460901312199402
AKZOINDIA.NS,Basic Materials,186348634112.0,42.91955,0.004241296884658278,0.024984931733822307
ALANKIT.NS,Technology,6304423936.0,22.142859,0.0030606752810594232,0.03286790786644749
ALBERTDAVD.NS,Healthcare,7885868544.0,9.689691,0.002093522937755798,0.028348052457533583
ALCHEM.NS,Unknown,,,0.0,0.0
ALEMBICLTD.NS,Real Estate,33892657152.0,12.109176,0.003708783265640377,0.0316834873260642
ALICON.NS,Industrials,21070413824.0,29.75884,0.0035795178303655896,0.030518945325069557
ALKALI.NS,Basic Materials,1254480512.0,,0.0012682308043671588,0.03474934411202646
ALKEM.NS,Healthcare,682297655296.0,33.22175,0.0009284486951637751,0.01643559379933243
ALKYLAMINE.NS,Basic Materials,105237913600.0,62.490875,2.7082885087032768e-05,0.01778765388081017
ALLCARGO.NS,Industrials,54436319232.0,173.0,-0.0012472718797422514,0.021635744057474277
ALLSEC.NS,Industrials,16521364480.0,20.620007,0.00020286423634403042,0.025302395868875848
ALMONDZ.NS,Financial Services,5104331264.0,13.75,0.004589858301675855,0.03270190852220907
ALOKINDS.NS,Consumer Cyclical,108639518720.0,,-0.0011162816954868586,0.025258684845456396
ALPA.NS,Healthcare,2382006272.0,12.982798,0.002269421554133808,0.034004609970730876
ALPHAGEO.NS,Energy,2485758464.0,33.661484,0.0011197426406998766,0.03399302462265043
ALPSINDUS.NS,Consumer Cyclical,175231296.0,,0.002157420887316761,0.02898526953731064
AMBER.NS,Consumer Cyclical,207861039104.0,112.36169,0.004141846312762015,0.033989320637420724
AMBIKCO.NS,Consumer Cyclical,8828236800.0,13.84992,0.000520287908594372,0.022702645994096184
AMBUJACEM.NS,Basic Materials,1391416442880.0,43.08925,-0.00010399813959275266,0.022983970810964774
AMDIND.NS,Consumer Cyclical,1238363008.0,94.661766,0.0006529669326269579,0.03668535215288959
AMJLAND.NS,Real Estate,2009821952.0,15.399371,0.0023723342133721483,0.03305220106097836
AMRUTANJAN.NS,Healthcare,20436736000.0,48.076138,-0.00047631301080220285,0.020590433108416982
ANANTRAJ.NS,Real Estate,251597602816.0,70.42106,0.006237966267657132,0.03358324727536547
ANDHRAPAP.NS,Basic Materials,19330207744.0,10.157785,-0.0003079472515029506,0.01789782486729506
ANDHRSUGAR.NS,Basic Materials,14082129920.0,20.409449,0.00025837079073547304,0.02365833823832356
ANIKINDS.NS,Consumer Defensive,2945201408.0,,0.005969348598006405,0.02828529132641088
ANKITMETAL.NS,Basic Materials,526341440.0,,-5.153941049405853e-05,0.02623258429411796
ANSALAPI.NS,Real Estate,2002191488.0,,0.002347945251713487,0.028874346587997885
ANUP.NS,Industrials,71274618880.0,104.18105,0.005217829112591533,0.0327489016215275
APARINDS.NS,Industrials,363581472768.0,42.372784,0.001506120909526818,0.025947276815200794
APCL.NS,Basic Materials,4877672448.0,,-0.0003929061994595271,0.019488467083127424
APCOTEXIND.NS,Basic Materials,20616138752.0,39.51292,-0.00026750605391599725,0.018972767568711277
APEX.NS,Consumer Defensive,8007802368.0,54.35032,0.0013809112759742836,0.029800402520997898
APLAPOLLO.NS,Basic Materials,422032244736.0,72.448784,2.043370758292088e-05,0.020351870818873297
APLLTD.NS,Healthcare,204229509120.0,31.54664,0.0007129263538718754,0.027078825890958898
APOLLO.NS,Industrials,30572302336.0,59.67665,-2.9259156160227997e-05,0.02351612619184278
APOLLOHOSP.NS,Healthcare,1067085922304.0,90.0874,0.0019636147852298714,0.012072411413479102
APOLLOPIPE.NS,Industrials,22474311680.0,68.936745,-0.0014582655039112444,0.020367947567309655
APOLLOTYRE.NS,Consumer Cyclical,311866327040.0,19.15919,0.0004460705772104204,0.018172666588051296
APOLSINHOT.NS,Industrials,4738448896.0,54.345364,0.0008073035429469724,0.03066292031945185
APTECHT.NS,Consumer Defensive,10289149952.0,39.555805,-0.0017564419805318014,0.023786201710227134
ARCHIDPLY.NS,Basic Materials,2366318848.0,102.68966,0.00025125992826801295,0.0337943816446517
ARCHIES.NS,Consumer Cyclical,925572160.0,,-7.219111887924251e-06,0.033436108347798865
ARCOTECH.NS,Unknown,,,0.0,0.0
ARENTERP.NS,Basic Materials,149198400.0,14.117646,0.0010569761821801892,0.038318356853209015
ARIES.NS,Basic Materials,3491002624.0,15.8703375,0.0012472455643167829,0.03491738815758992
ARIHANTSUP.NS,Real Estate,14895803392.0,24.993093,0.0010055512642075531,0.031894453956977084
ARMANFIN.NS,Financial Services,14986267648.0,8.025473,-0.0025502644860801865,0.02461911334851198
AROGRANITE.NS,Industrials,795905984.0,102.0,0.00010095749430300923,0.02446304852082887
ARROWGREEN.NS,Consumer Cyclical,15585793024.0,28.903057,0.006443800087270373,0.04452235530466963
ARSHIYA.NS,Industrials,1006478272.0,,-0.0034037467926065655,0.03061934095560863
ARSSINFRA.NS,Industrials,439070752.0,,-8.418696170622263e-05,0.027280663179780115
ARTEMISMED.NS,Unknown,,122.270744,0.0037268539533597176,0.030734097350802743
ARVIND.NS,Consumer Cyclical,97887019008.0,33.785004,0.0006891669308540959,0.028254881561565626
ARVINDFASN.NS,Consumer Cyclical,78556045312.0,108.7061,0.002281336348640649,0.021532008383584454
ARVSMART.NS,Real Estate,42076393472.0,61.72715,0.0026529908286035396,0.0343774032348664
ASAHIINDIA.NS,Consumer Cyclical,169494364160.0,54.368176,0.0011469707140464352,0.025197262353500536
ASAHISONG.NS,Basic Materials,4928846848.0,48.548203,0.0016672361395918562,0.03729651588027158
ASAL.NS,Consumer Cyclical,10995615744.0,53.19263,-0.0014818970929335535,0.02878135226629194
ASALCBR.NS,Consumer Defensive,16989024256.0,29.587532,0.0050259816060401205,0.03488386479392913
ASHAPURMIN.NS,Basic Materials,23863373824.0,9.716453,-0.0010724291560983664,0.03981350636557123
ASHIANA.NS,Real Estate,31037093888.0,46.498493,-0.0011432054394054619,0.02629710176845117
ASHIMASYN.NS,Consumer Cyclical,6966840832.0,7.030947,0.004949638826309482,0.04400621418072769
ASHOKA.NS,Industrials,66186063872.0,11.100283,0.0031111590569715443,0.03312401142883206
ASHOKLEY.NS,Industrials,651886198784.0,24.819912,0.001127557263403435,0.022094666510108846
ASIANHOTNR.NS,Consumer Cyclical,3787539200.0,,0.00284851939071547,0.028670602872919445
ASIANPAINT.NS,Basic Materials,2655077269504.0,52.35255,-4.907107052516122e-05,0.012868812152063923
ASIANTILES.NS,Industrials,10333184000.0,,0.0023681433380534616,0.03469784002836134
ASPINWALL.NS,Consumer Defensive,2142211456.0,16.697136,0.00046175242525626445,0.025341428844942157
ASTEC.NS,Basic Materials,20931248128.0,,-0.0008400781874754503,0.02206052917760172
ASTERDM.NS,Healthcare,218232799232.0,106.35923,0.0020292146586463585,0.020705036915513335
ASTRAL.NS,Industrials,480534331392.0,91.73334,-0.0010408077011712501,0.018451085610911855
ASTRAMICRO.NS,Technology,73178824704.0,53.77181,0.0017042782123303183,0.030646794464963864
ASTRAZEN.NS,Healthcare,182941073408.0,192.28421,0.0030215162193636823,0.03196439611780219
ASTRON.NS,Basic Materials,1038809792.0,,0.0006700769651032198,0.02503558216599071
ATFL.NS,Consumer Defensive,25118595072.0,588.60004,0.003194760169799172,0.028270324396564638
ATGL.NS,Utilities,784330260480.0,111.170044,-0.00143248411672501,0.026475058568988092
ATLASCYCLE.NS,Unknown,,,0.0,0.0
ATUL.NS,Basic Materials,232163311616.0,61.351437,0.0021905207957227833,0.017849202563321013
ATULAUTO.NS,Consumer Cyclical,16585537536.0,76.31545,0.0008223702730922685,0.031722413565375425
AUBANK.NS,Financial Services,431865430016.0,22.779522,-0.0003947381130556614,0.018554345120892567
AURIONPRO.NS,Technology,90257588224.0,49.756393,0.0027813570689914735,0.03336620515483506
AUROPHARMA.NS,Healthcare,771043688448.0,22.074327,0.001357426872402697,0.016288867238105537
AUSOMENT.NS,Financial Services,1422984960.0,11.802259,0.001500188763098294,0.043529278905711954
AUTOAXLES.NS,Consumer Cyclical,27054239744.0,17.637205,-0.00027891322646013243,0.016374965082217974
AUTOIND.NS,Consumer Cyclical,4549732864.0,23.542337,0.00018894402710440593,0.032190131021119006
AVADHSUGAR.NS,Consumer Defensive,12452445184.0,10.857916,0.0012087701681425653,0.028950860666833306
AVANTIFEED.NS,Consumer Defensive,78933778432.0,20.789,0.0012109149087511355,0.03189236973934982
AVTNPL.NS,Basic Materials,12525359104.0,24.62575,-0.000658808135948867,0.02096828206609411
AWHCL.NS,Industrials,22476179456.0,26.318499,0.00450618828454441,0.03579645531584627
AXISBANK.NS,Financial Services,3593778495488.0,12.91954,0.00037011136438363764,0.016876531491083747
AXISCADES.NS,Industrials,22001512448.0,51.026524,-0.0007267277592637656,0.037845193703194537
AYMSYNTEX.NS,Consumer Cyclical,12573753344.0,50.997944,0.008548331565667337,0.032960739941820215
BAFNAPH.NS,Healthcare,1946203776.0,685.5833,-0.0016106330282226573,0.024312622192109137
BAGFILMS.NS,Communication Services,2123660032.0,32.51515,0.002979484782540085,0.036990278710132274
BAJAJ-AUTO.NS,Consumer Cyclical,2767608348672.0,37.735218,0.0012344501899996386,0.019236488919010676
BAJAJCON.NS,Consumer Defensive,31020574720.0,22.081951,-0.0008973703912465589,0.02011822538475281
BAJAJELEC.NS,Consumer Cyclical,101270847488.0,94.3609,-0.00037959914672724797,0.01770953160962423
BAJAJFINSV.NS,Financial Services,2775771250688.0,32.89374,0.0007626373240629007,0.015054915070739684
BAJAJHIND.NS,Consumer Defensive,43196043264.0,,0.0008808531970026866,0.03282592959256239
BAJAJHLDNG.NS,Financial Services,1169288069120.0,15.747961,0.0020082640627516204,0.01717362304805708
BAJFINANCE.NS,Financial Services,4267207032832.0,27.778248,0.00027818283109267886,0.01605022772094731
BALAJITELE.NS,Communication Services,6174993920.0,72.40476,-0.0012252221329055212,0.02580463656710458
BALAMINES.NS,Basic Materials,67202916352.0,34.362164,-0.0005850671655452978,0.019144241567637853
BALAXI.NS,Healthcare,4379969536.0,9.777272,-0.0020776829195129766,0.031754823043895736
BALKRISHNA.NS,Consumer Cyclical,781645056.0,,0.00031426995142255055,0.04092190118380452
BALKRISIND.NS,Consumer Cyclical,546903457792.0,33.555332,0.00135895920047407,0.022900622538278195
BALLARPUR.NS,Unknown,,,0.0,0.0
BALMLAWRIE.NS,Industrials,39134171136.0,14.602426,-0.0011144766685587879,0.02964347707651249
BALPHARMA.NS,Healthcare,2002849280.0,24.613096,0.0022114540953711913,0.03419707221115479
BALRAMCHIN.NS,Consumer Defensive,119717847040.0,22.52278,0.0037627002750874445,0.023367671815522267
BANARBEADS.NS,Consumer Cyclical,952762176.0,30.225266,0.004123251291934074,0.034824245685610766
BANARISUG.NS,Consumer Defensive,44217012224.0,30.210957,0.002880741773681314,0.025120754296740863
BANCOINDIA.NS,Consumer Cyclical,53392211968.0,19.6875,0.002100971731751357,0.02716976520337447
BANDHANBNK.NS,Financial Services,286350835712.0,12.83815,0.0003966164284329384,0.030496726978425596
BANG.NS,Consumer Cyclical,730341952.0,,0.001101915351420214,0.031329261293804686
BANKA.NS,Industrials,1335650304.0,67.65934,0.0026116244717511363,0.028557060265807035
BANKBARODA.NS,Financial Services,1326970961920.0,6.6356354,0.0003486321409474869,0.02467347063344407
BANKINDIA.NS,Financial Services,508260089856.0,7.05689,-0.0014732921089450342,0.02212577105203541
BANSWRAS.NS,Consumer Cyclical,4778795520.0,17.627054,-0.00015469414984782385,0.023745324285689224
BASF.NS,Basic Materials,354316746752.0,52.63251,0.005873184397167784,0.037322546255966094
BASML.NS,Consumer Cyclical,3832155904.0,,0.0019348445047376451,0.02819314117061259
BATAINDIA.NS,Consumer Cyclical,171751964672.0,49.510933,0.00030769741834742236,0.014124628064282567
BAYERCROP.NS,Basic Materials,296456060928.0,44.444145,0.001788032233800032,0.01887715591131991
BBL.NS,Industrials,45400600576.0,70.42047,0.0023927843426635445,0.04284128496947024
BBTC.NS,Consumer Defensive,189699391488.0,17.825846,0.004957783931149485,0.03726431299933553
BCG.NS,Communication Services,17217974272.0,1.9517242,-0.003177750073718461,0.02859985975657554
BDL.NS,Industrials,385000079360.0,140.7909,0.0013722196164757852,0.032651766517289564
BEARDSELL.NS,Industrials,1708410880.0,20.628572,0.0013022782738427718,0.041615118133168545
BECTORFOOD.NS,Consumer Defensive,111324012544.0,74.63314,0.0033595076169837044,0.029611737936462327
BEDMUTHA.NS,Basic Materials,7402306560.0,27.18365,0.0018497463844304083,0.029765675632190212
BEL.NS,Industrials,2176486998016.0,47.869778,0.002442469785544402,0.029150473797119273
BEML.NS,Industrials,174559166464.0,60.978325,0.0025370500121350064,0.03975880920776098
BEPL.NS,Basic Materials,32600522752.0,18.030346,0.0031052721650145724,0.03409505384871414
BERGEPAINT.NS,Basic Materials,587854643200.0,51.29705,0.0002136363298454707,0.015349062126264716
BFINVEST.NS,Financial Services,28365586432.0,5.385083,0.0027782480343235294,0.02920346939702162
BFUTILITIE.NS,Utilities,36030943232.0,26.106714,0.001606088398924449,0.03636549580096429
BGRENERGY.NS,Industrials,2962952704.0,,0.0005590315367074168,0.02704495068719491
BHAGERIA.NS,Basic Materials,9745740800.0,35.110935,0.0027855177404771834,0.03087229612021119
BHAGYANGR.NS,Basic Materials,3322040832.0,35.19661,-5.1783183070827875e-05,0.02770882292606445
BHANDARI.NS,Consumer Cyclical,1598733184.0,17.051283,-0.0011015760652556953,0.031307810507804665
BHARATFORG.NS,Consumer Cyclical,661159673856.0,70.93157,0.0003327439628433083,0.02092116430867492
BHARATGEAR.NS,Consumer Cyclical,1535510016.0,,-0.0007294489878561635,0.017077747796645733
BHARATRAS.NS,Basic Materials,49210580992.0,37.313606,0.0025142451579107093,0.039638991448436696
BHARATWIRE.NS,Basic Materials,15907521536.0,18.616678,-0.0004883532911212696,0.03267341102370947
BHARTIARTL.NS,Communication Services,9391409463296.0,75.76738,0.0017091510787247072,0.014842850458266466
BHEL.NS,Industrials,832387481600.0,185.30232,-0.0008836333058712387,0.03185724873095008
BIGBLOC.NS,Industrials,17477556224.0,59.927185,0.00047855314957862477,0.0315667902708463
BIL.NS,Consumer Cyclical,9311541248.0,,0.004686908816131021,0.02812770252958266
BILENERGY.NS,Unknown,,,0.0,0.0
BIOCON.NS,Healthcare,384804945920.0,26.730448,0.0006025605248830032,0.02174496469412935
BIOFILCHEM.NS,Healthcare,1061539456.0,166.0513,0.0003445595345716474,0.03646241461564675
BIRLACABLE.NS,Technology,6638989824.0,90.102036,-0.0007724617841327087,0.02671278586309555
BIRLACORPN.NS,Basic Materials,87909277696.0,28.329193,-0.0020850643136618606,0.01983683624234149
BIRLAMONEY.NS,Financial Services,9337580544.0,12.518183,0.00245245131719662,0.032031197768984714
BIRLATYRE.NS,Unknown,,,0.0,0.0
BKMINDST.NS,Consumer Cyclical,105509760.0,,-0.0017737513821480164,0.018752127804837124
